Source;Target;Type
86;8306;Directed
86;3128;Directed
86;9901;Directed
86;10676;Directed
86;4702;Directed
86;744;Directed
86;5823;Directed
87;4389;Directed
87;5443;Directed
87;5932;Directed
87;3667;Directed
88;3224;Directed
88;2854;Directed
88;3987;Directed
88;1721;Directed
89;5375;Directed
90;9024;Directed
90;3258;Directed
90;337;Directed
90;9534;Directed
90;12017;Directed
90;1708;Directed
90;5240;Directed
90;6021;Directed
90;13229;Directed
90;9936;Directed
90;8426;Directed
90;12397;Directed
90;279;Directed
90;5062;Directed
91;13331;Directed
91;2579;Directed
91;2104;Directed
91;8809;Directed
91;14030;Directed
91;9896;Directed
91;3180;Directed
91;91;Directed
91;406;Directed
91;6084;Directed
92;8824;Directed
93;11291;Directed
93;9848;Directed
93;9636;Directed
93;6114;Directed
6905;2453;Directed
6905;10714;Directed
6905;11375;Directed
6905;13977;Directed
6905;10812;Directed
6905;1063;Directed
95;3873;Directed
95;13918;Directed
95;8807;Directed
95;8483;Directed
95;12452;Directed
96;9209;Directed
96;7453;Directed
96;2617;Directed
96;4125;Directed
96;8780;Directed
96;11911;Directed
96;2889;Directed
96;9601;Directed
96;13639;Directed
96;13482;Directed
4605;4217;Directed
4605;1004;Directed
4605;2034;Directed
4605;11216;Directed
99;1466;Directed
99;4552;Directed
99;2232;Directed
101;10932;Directed
101;9881;Directed
101;7954;Directed
102;8966;Directed
102;3056;Directed
102;4442;Directed
103;12894;Directed
104;8936;Directed
104;10975;Directed
104;13608;Directed
105;2983;Directed
106;5068;Directed
106;2422;Directed
106;9954;Directed
106;11971;Directed
106;6699;Directed
106;9427;Directed
106;9007;Directed
106;2329;Directed
106;5427;Directed
106;13988;Directed
107;1226;Directed
107;4162;Directed
107;3890;Directed
108;669;Directed
109;10758;Directed
110;10571;Directed
110;13011;Directed
110;11934;Directed
110;12067;Directed
110;2123;Directed
110;856;Directed
111;12913;Directed
111;13810;Directed
111;2864;Directed
113;13847;Directed
113;6252;Directed
113;4419;Directed
113;1821;Directed
113;5727;Directed
113;6706;Directed
113;1028;Directed
113;1109;Directed
113;11512;Directed
113;3185;Directed
113;12545;Directed
114;13372;Directed
114;9349;Directed
114;9735;Directed
114;10852;Directed
114;6110;Directed
114;11937;Directed
114;5920;Directed
115;6814;Directed
115;13688;Directed
115;2757;Directed
116;9330;Directed
11835;7876;Directed
11835;11433;Directed
11835;5389;Directed
11835;705;Directed
11835;9289;Directed
11835;10239;Directed
11835;8455;Directed
118;912;Directed
118;7778;Directed
118;13042;Directed
118;6946;Directed
118;8798;Directed
118;13210;Directed
118;12569;Directed
118;4890;Directed
118;11192;Directed
118;4838;Directed
118;6616;Directed
118;599;Directed
118;5362;Directed
118;2218;Directed
118;2777;Directed
118;1623;Directed
118;13292;Directed
118;4790;Directed
118;10985;Directed
118;9935;Directed
118;13617;Directed
118;8909;Directed
118;12080;Directed
118;12488;Directed
118;194;Directed
118;4919;Directed
118;6723;Directed
118;11682;Directed
118;5541;Directed
119;893;Directed
119;9521;Directed
119;2073;Directed
119;7038;Directed
119;9921;Directed
120;5109;Directed
121;8556;Directed
121;9138;Directed
121;2130;Directed
121;5637;Directed
123;2301;Directed
123;5826;Directed
123;4876;Directed
124;4656;Directed
124;2027;Directed
124;5211;Directed
124;10208;Directed
124;4574;Directed
124;11180;Directed
124;10851;Directed
124;14034;Directed
124;4497;Directed
124;13020;Directed
124;334;Directed
124;12636;Directed
124;5207;Directed
125;10297;Directed
125;6000;Directed
125;12938;Directed
125;2271;Directed
125;5037;Directed
125;13636;Directed
125;7660;Directed
125;5988;Directed
125;5074;Directed
125;509;Directed
125;10587;Directed
126;3203;Directed
126;1157;Directed
126;1873;Directed
126;12075;Directed
127;6552;Directed
127;8677;Directed
127;13265;Directed
127;1551;Directed
127;9539;Directed
127;5888;Directed
127;6345;Directed
127;4626;Directed
127;12892;Directed
127;10634;Directed
127;2710;Directed
127;1084;Directed
127;1085;Directed
127;4675;Directed
127;13182;Directed
127;12978;Directed
127;12768;Directed
127;10090;Directed
127;9066;Directed
127;1453;Directed
127;2871;Directed
127;223;Directed
127;8885;Directed
127;6606;Directed
127;13117;Directed
127;1574;Directed
127;11713;Directed
127;13943;Directed
127;11037;Directed
127;6246;Directed
127;6763;Directed
127;5495;Directed
127;6475;Directed
127;3379;Directed
127;13971;Directed
127;12122;Directed
127;1725;Directed
127;8430;Directed
127;9653;Directed
127;1801;Directed
127;13975;Directed
127;6261;Directed
127;12416;Directed
127;875;Directed
127;12006;Directed
127;11145;Directed
127;13798;Directed
127;8204;Directed
127;8353;Directed
127;12865;Directed
127;1264;Directed
127;9490;Directed
127;13738;Directed
127;10621;Directed
127;2471;Directed
127;6590;Directed
127;9211;Directed
127;3122;Directed
127;353;Directed
127;786;Directed
127;10878;Directed
127;4028;Directed
127;8307;Directed
127;2992;Directed
127;12744;Directed
127;13927;Directed
127;2200;Directed
127;4208;Directed
127;3402;Directed
127;301;Directed
127;5033;Directed
127;10076;Directed
127;1075;Directed
127;2702;Directed
127;156;Directed
127;6682;Directed
128;2191;Directed
128;5067;Directed
128;9013;Directed
128;8996;Directed
128;8220;Directed
128;10122;Directed
128;4874;Directed
128;8810;Directed
128;11064;Directed
128;4819;Directed
128;2672;Directed
128;8290;Directed
128;7932;Directed
128;13234;Directed
129;2453;Directed
129;10714;Directed
129;1001;Directed
129;10697;Directed
129;7878;Directed
129;13977;Directed
129;9443;Directed
129;10812;Directed
129;2253;Directed
129;8515;Directed
129;5595;Directed
129;5507;Directed
129;5585;Directed
129;13812;Directed
130;6831;Directed
130;100;Directed
130;10456;Directed
130;2031;Directed
130;9144;Directed
130;8620;Directed
130;1563;Directed
130;583;Directed
131;6658;Directed
131;7284;Directed
131;267;Directed
131;3074;Directed
131;9969;Directed
131;4728;Directed
131;12049;Directed
131;9279;Directed
131;9176;Directed
131;14065;Directed
131;4677;Directed
131;170;Directed
131;1728;Directed
131;821;Directed
131;1673;Directed
131;478;Directed
131;12055;Directed
131;326;Directed
131;14022;Directed
131;8124;Directed
131;8895;Directed
131;9533;Directed
131;339;Directed
131;5013;Directed
131;4651;Directed
131;10608;Directed
131;1155;Directed
131;3554;Directed
131;9776;Directed
131;12670;Directed
131;5711;Directed
131;5440;Directed
131;6328;Directed
131;5291;Directed
131;199;Directed
131;1985;Directed
131;12965;Directed
132;10871;Directed
132;10299;Directed
132;1960;Directed
132;8055;Directed
132;9417;Directed
133;561;Directed
133;13021;Directed
133;9886;Directed
134;1292;Directed
134;9895;Directed
134;3678;Directed
134;2052;Directed
135;4692;Directed
135;4720;Directed
135;12611;Directed
135;10875;Directed
135;4306;Directed
135;6190;Directed
135;8009;Directed
135;3031;Directed
135;4186;Directed
135;5294;Directed
6909;2897;Directed
6909;14052;Directed
6909;6002;Directed
6909;6505;Directed
6909;13580;Directed
6909;7417;Directed
6909;13766;Directed
6909;12978;Directed
6909;2099;Directed
6909;12768;Directed
6909;9867;Directed
6909;3257;Directed
6909;13169;Directed
6909;11808;Directed
6909;1237;Directed
6909;316;Directed
6909;2872;Directed
6909;7485;Directed
6909;1854;Directed
6909;8585;Directed
6909;11380;Directed
6909;8187;Directed
137;523;Directed
137;10351;Directed
137;3685;Directed
137;5580;Directed
138;6326;Directed
138;9124;Directed
138;1052;Directed
138;3786;Directed
138;3626;Directed
138;6985;Directed
139;897;Directed
140;10910;Directed
141;5566;Directed
141;13993;Directed
142;7127;Directed
142;622;Directed
142;6606;Directed
142;12016;Directed
142;4951;Directed
142;7936;Directed
142;8223;Directed
142;1431;Directed
142;9498;Directed
143;2771;Directed
143;13090;Directed
143;7446;Directed
143;2167;Directed
143;3871;Directed
143;7857;Directed
143;8567;Directed
143;11221;Directed
143;13872;Directed
6912;12861;Directed
6912;13555;Directed
6912;7719;Directed
145;445;Directed
145;3506;Directed
145;6444;Directed
145;4127;Directed
145;6303;Directed
145;11329;Directed
145;3049;Directed
145;7262;Directed
145;10352;Directed
146;12511;Directed
147;5190;Directed
148;11744;Directed
913;3009;Directed
150;4543;Directed
150;1848;Directed
150;13486;Directed
150;10776;Directed
150;10723;Directed
150;14063;Directed
150;10573;Directed
151;13231;Directed
4208;2897;Directed
4208;12167;Directed
4208;174;Directed
4208;7578;Directed
4208;10327;Directed
4208;1854;Directed
4208;6002;Directed
4208;11720;Directed
4208;6703;Directed
4208;8223;Directed
4208;3801;Directed
4208;4133;Directed
4208;7171;Directed
4208;4426;Directed
4208;311;Directed
4208;9037;Directed
4208;4414;Directed
4208;13007;Directed
4208;9498;Directed
152;2608;Directed
152;9862;Directed
152;5203;Directed
152;7238;Directed
152;11194;Directed
152;10909;Directed
152;13051;Directed
152;10646;Directed
152;10058;Directed
152;7859;Directed
152;7597;Directed
152;9595;Directed
152;8969;Directed
152;9295;Directed
152;13908;Directed
152;5636;Directed
152;13972;Directed
152;1201;Directed
152;13399;Directed
152;323;Directed
152;789;Directed
152;1326;Directed
152;6937;Directed
152;7882;Directed
152;10130;Directed
153;8413;Directed
153;2623;Directed
153;13798;Directed
153;12423;Directed
154;9544;Directed
154;7692;Directed
155;6832;Directed
155;4769;Directed
155;13521;Directed
155;8944;Directed
155;13637;Directed
155;13953;Directed
155;7177;Directed
155;5818;Directed
155;9279;Directed
155;9693;Directed
155;3893;Directed
155;174;Directed
155;1237;Directed
155;11406;Directed
155;6020;Directed
155;3174;Directed
155;12229;Directed
155;12071;Directed
155;1854;Directed
155;13245;Directed
155;8745;Directed
155;11730;Directed
155;13142;Directed
155;6590;Directed
155;5101;Directed
155;10724;Directed
155;9785;Directed
156;8188;Directed
156;5549;Directed
156;1763;Directed
156;2853;Directed
156;2710;Directed
156;10827;Directed
156;2361;Directed
156;11167;Directed
156;12912;Directed
156;1714;Directed
156;8396;Directed
156;10272;Directed
156;10368;Directed
158;8987;Directed
158;8475;Directed
158;993;Directed
158;12822;Directed
978;4675;Directed
978;13887;Directed
978;10365;Directed
978;6887;Directed
978;8380;Directed
160;2211;Directed
161;14001;Directed
161;12416;Directed
161;6984;Directed
161;12180;Directed
161;12988;Directed
161;10173;Directed
161;2460;Directed
161;8223;Directed
161;9668;Directed
161;11108;Directed
161;1437;Directed
161;2479;Directed
161;13766;Directed
161;8674;Directed
161;9268;Directed
161;12859;Directed
161;5978;Directed
161;6736;Directed
161;8265;Directed
161;10368;Directed
162;12546;Directed
162;8885;Directed
163;7910;Directed
163;187;Directed
163;9688;Directed
163;13698;Directed
164;12173;Directed
164;4907;Directed
164;5694;Directed
164;8887;Directed
164;11324;Directed
165;9860;Directed
166;6779;Directed
166;6859;Directed
166;11256;Directed
166;10482;Directed
166;377;Directed
166;2134;Directed
166;2221;Directed
166;2871;Directed
166;12060;Directed
166;9526;Directed
166;3625;Directed
166;993;Directed
166;3383;Directed
166;9298;Directed
166;8414;Directed
166;6811;Directed
166;3234;Directed
166;11376;Directed
166;4121;Directed
166;13195;Directed
166;5487;Directed
166;12495;Directed
166;6766;Directed
166;4337;Directed
166;1768;Directed
166;3301;Directed
166;9372;Directed
1014;11937;Directed
1014;3660;Directed
1014;1179;Directed
1014;2154;Directed
168;3854;Directed
168;10949;Directed
168;5446;Directed
168;11164;Directed
169;4713;Directed
169;13256;Directed
169;13433;Directed
169;12907;Directed
170;7861;Directed
170;5109;Directed
170;1521;Directed
170;10439;Directed
170;8462;Directed
170;8489;Directed
170;13946;Directed
170;10476;Directed
170;3087;Directed
170;9788;Directed
170;268;Directed
170;11633;Directed
170;8471;Directed
11638;3893;Directed
11638;248;Directed
11638;7713;Directed
11638;13997;Directed
11638;13053;Directed
11638;2373;Directed
11638;8173;Directed
11638;12977;Directed
11638;9974;Directed
172;2091;Directed
172;7861;Directed
172;5375;Directed
172;2720;Directed
172;11521;Directed
172;11159;Directed
172;4779;Directed
172;2628;Directed
172;7168;Directed
172;8396;Directed
172;6987;Directed
173;12682;Directed
173;6202;Directed
174;2897;Directed
174;3040;Directed
174;12074;Directed
174;7629;Directed
174;4529;Directed
174;7061;Directed
174;4245;Directed
174;8599;Directed
174;6223;Directed
174;10409;Directed
174;4628;Directed
174;10349;Directed
174;9117;Directed
174;5893;Directed
174;13036;Directed
174;11399;Directed
174;3690;Directed
174;4562;Directed
174;13598;Directed
174;8386;Directed
174;13169;Directed
174;449;Directed
174;4001;Directed
174;6621;Directed
174;875;Directed
174;12925;Directed
174;12115;Directed
174;11317;Directed
174;5684;Directed
174;13412;Directed
174;2612;Directed
174;13635;Directed
174;435;Directed
174;3545;Directed
