Id;Label;new_id
2,43E+14;Standard Chartered India;2285
3,68E+14;Total;6128
2,12E+14;Lucky Charms;963
2,04E+14;Tigo Tanzania;11787
1,11E+14;Marabou Danmark;905
81753537108;Direct Energie;13427
8,69E+14;NBC Asian America;3974
1,57E+15;PopSugar Deutschland;2429
1,42E+15;Unilever Food Solutions EspaÃ±a;2808
1,94E+14;Red Bull MOBILE;2866
73563300980;The Situation Room;10954
8831006701;PAUL & JOE;13148
1,49E+14;Starbucks Mexico;4974
2,68E+11;Slashdot;1219
2,14E+14;The Tab Kent;11023
2,04E+14;DW (FranÃ§ais);11989
1,02E+15;POLITICO New Jersey;9659
1,94E+11;Fantagazzetta;8014
1,95E+14;Bayer Carreiras;11970
84917688371;Cartoon Network;2612
25785379092;PRÃœNE;4408
6,76E+14;GazzettaWorld;4093
1,46E+14;WD;7591
1,47E+14;L'OCCITANE en Provence;1129
9,59E+14;Baci Perugina;5062
1,30E+14;Xerox;6447
4,82E+14;TUC;5865
3,68E+11;Univision Puerto Rico;11515
2,11E+14;El Heraldo de MÃ©xico;559
1,16E+14;Kingston Technology;6112
1,22E+11;Invitrogen;3632
2,22E+11;Goal Italia;5303
1,52E+14;Hellmann's;3280
4,13E+14;Lidl Hellas;2054
1,19E+14;Lonely Planet AR;7549
3,98E+14;Liberty Insurance Singapore;5712
2,08E+11;ING Bank TÃ¼rkiye;7988
3,37E+14;Granola;10721
76283417065;L'EQUIPE;1925
2,18E+14;Land Rover;9026
1,27E+11;News Talk 630 & 99.7 FM WPRO;12915
5,35E+14;Edgell Australia;1191
1,17E+11;Club Med;6793
1,16E+11;Sea-Doo;6034
2,72E+11;Public News Service;6098
1,38E+14;Lebara;12029
5,38E+14;BuzzFeed BFF;10924
1,35E+14;Marleylilly - Monogrammed Gifts;5777
45584556537;RÃDIO NOVA ERA;3663
4,01E+14;Stuff MÃ©xico;8999
7,80E+14;Oldham Gazette;7607
5,31E+14;Yle Oppiminen;8102
3,38E+14;Munchies Italia;5973
1,46E+15;Lebara Mobile KSA;5288
15897196906;91 9 Sea FM;13316
